Thigh,Calf,Foot,Thigh2,Calf2,Foot2,Thigh3,Calf3,Foot3
90,85,85,90,0,85,95,105,90
90,85,85,90,180,85,95,105,90
80,85,85,90,180,80,105,105,90
40,65,85,90,160,85,145,125,90
40,45,90,90,140,115,145,145,85
40,25,115,90,120,115,145,165,70
