Thigh,Calf,Foot,Thigh2,Calf2,Foot2,Thigh3,Calf3,Foot3
90,85,85,90,0,85,95,105,90
90,85,85,90,180,85,95,105,90
80,85,85,90,130,80,105,105,90
30,65,95,90,130,85,155,125,80
40,45,95,90,130,115,145,145,80
40,25,115,90,120,115,145,165,70
40,25,115,110,0,115,145,165,70
40,25,115,110,40,85,145,165,70
